184.97,753.24
184.92,754.02
184.82,754.75
184.69,755.49
184.61,756.31
184.73,757.04
185.09,757.86
185.63,758.62
186.15,759.18
186.5,759.68
186.66,759.83
186.69,759.95
186.71,759.89
186.85,759.75
187.1,759.65
187.41,759.43
187.68,759.35
187.84,759.22
187.91,758.89
187.93,758.64
188,758.13
188.15,757.67
188.39,757.19
188.58,756.74
188.6,756.46
188.38,755.99
187.97,755.56
187.51,754.95
187.05,754.18
186.58,753.38
186,752.3
185.23,751.22
184.24,750.04
183.07,748.74
181.77,747.67
180.38,746.36
178.92,745.24
177.45,744.19
176.1,743.2
175.02,742.53
174.31,742.01
173.92,741.76
173.75,741.74
173.64,741.75
173.44,741.93
173.04,742.2
172.35,742.66
171.36,743.11
170.12,743.5
168.74,743.83
167.31,743.8
165.91,743.65
164.61,743.23
163.48,742.64
162.51,742.21
161.62,741.77
160.68,741.71
159.62,741.8
158.44,742.03
157.15,742.54
155.77,743
154.38,743.75
153.08,744.69
152.02,745.82
151.32,747.32
151,748.8
150.99,750.37
151.16,751.75
151.41,752.83
151.7,753.8
152.03,754.39
152.37,754.81
152.65,754.94
152.8,754.8
152.78,754.6
152.6,754.2
152.27,753.95
151.84,753.78
151.36,753.74
150.9,753.97
150.55,754.34
150.35,755.06
150.27,755.86
150.26,756.69
150.2,757.54
150.02,757.94
149.66,758.18
149.12,757.99
148.48,757.62
147.82,757.34
147.21,756.86
146.69,756.51
146.23,756.16
145.82,755.68
145.45,755.34
145.14,754.95
144.89,754.77
144.72,754.74
144.57,754.75
144.44,754.82
144.31,754.66
144.2,754.53
144.09,754.24
143.97,753.95
143.84,753.86
143.65,753.87
143.35,754.67
142.87,755.87
142.22,757.41
141.58,759.19
141.24,760.15
141.41,760.4
142.05,759.73
142.92,758.48
143.72,757.55
144.29,756.64
144.64,756.15
144.89,755.97
145.09,755.71
145.24,755.5
145.32,755.25
145.36,755.2
145.4,755.18
145.46,755.05
145.56,754.81
145.65,754.32
145.71,753.9
145.76,753.39
145.78,753.02
145.77,752.86
145.71,752.74
145.58,752.87
145.44,752.98
145.31,753.22
145.21,753.53
145.12,753.73
145.05,754.07
144.97,754.21
144.91,754.34
144.87,754.44
144.81,754.53
144.71,754.94
144.59,755.4
144.53,755.86
144.68,756.76
145.22,757.71
146.2,759.09
147.47,760.38
148.74,761.61
149.73,762.49
150.35,762.82
150.65,762.63
150.75,762.29
150.77,761.91
150.76,761.66
150.72,760.61
150.65,759.08
150.54,757.39
150.42,755.92
150.36,755.24
150.35,754.85
150.42,755.2
150.55,755.76
150.73,756.24
150.96,756.5
151.22,757.02
151.48,757.54
151.75,758.2
152.02,758.53
152.27,759.02
152.48,759.41
152.59,759.84
152.58,759.77
152.45,759.66
152.24,759.3
152.02,759.12
151.88,759.28
151.88,759.55
152.04,760.03
152.29,760.51
152.58,760.64
152.86,760.75
153.13,760.62
153.4,760.61
153.68,760.61
153.94,760.46
154.17,760.39
154.33,760.03
154.42,759.53
154.48,758.91
154.55,758.26
154.72,757.97
155.13,757.83
155.89,758.09
157.1,758.6
158.8,758.99
160.95,759.33
163.35,759.39
165.7,759.38
167.68,759.29
169.15,759.1
170.13,759.02
170.74,758.85
171.09,758.49
171.23,758.1
171.22,757.5
171.17,757.12
171.16,756.74
171.2,756.63
171.23,756.68
171.21,756.85
171.14,757.1
171,757.31
170.78,757.59
170.45,757.87
170.05,758
